iter	Passed	Remaining
454	1013	10121
455	1015	10119
456	1017	10116
457	1019	10113
458	1021	10110
459	1024	10106
460	1026	10103
461	1028	10099
462	1030	10098
463	1032	10095
464	1035	10097
465	1037	10098
466	1040	10095
467	1041	10090
468	1044	10086
469	1046	10083
470	1048	10078
471	1050	10074
472	1052	10070
473	1054	10066
474	1056	10065
475	1058	10061
476	1060	10057
477	1062	10053
478	1064	10049
479	1066	10046
480	1068	10041
481	1070	10038
482	1072	10034
483	1075	10031
484	1077	10028
485	1079	10024
486	1081	10020
487	1083	10016
488	1085	10012
489	1087	10009
490	1089	10004
491	1091	9999
492	1093	9996
493	1095	9996
494	1098	9993
495	1100	9989
496	1102	9984
497	1104	9981
498	1106	9977
499	1108	9973
500	1110	9969
501	1112	9967
502	1114	9964
503	1116	9961
504	1118	9959
505	1120	9955
506	1123	9952
507	1125	9949
508	1127	9945
509	1129	9943
510	1131	9940
511	1133	9936
512	1135	9932
513	1137	9929
514	1139	9925
515	1141	9921
516	1143	9918
517	1145	9913
518	1147	9910
519	1149	9906
520	1151	9903
521	1153	9899
522	1156	9895
523	1158	9892
524	1160	9888
525	1162	9885
526	1164	9881
527	1166	9877
528	1168	9873
529	1170	9870
530	1172	9866
531	1174	9863
532	1176	9860
533	1178	9856
534	1180	9851
535	1182	9848
536	1184	9844
537	1186	9841
538	1188	9837
539	1190	9834
540	1192	9830
541	1194	9827
542	1196	9824
543	1198	9819
544	1200	9816
545	1202	9813
546	1205	9809
547	1207	9807
548	1209	9804
549	1211	9800
550	1213	9796
551	1215	9792
552	1217	9789
553	1219	9786
554	1221	9782
555	1223	9779
556	1225	9776
557	1227	9773
558	1229	9770
559	1231	9766
560	1233	9763
561	1235	9759
562	1237	9756
563	1240	9753
564	1242	9749
565	1244	9746
566	1246	9744
567	1248	9741
568	1250	9738
569	1252	9735
570	1254	9732
571	1256	9728
572	1258	9724
573	1260	9721
574	1262	9718
575	1264	9714
576	1266	9711
577	1268	9708
578	1271	9705
579	1273	9701
580	1275	9698
581	1277	9695
582	1279	9692
583	1281	9689
584	1283	9686
585	1285	9683
586	1287	9680
587	1289	9676
588	1291	9673
589	1293	9669
590	1295	9666
591	1297	9663
592	1300	9666
593	1303	9665
594	1305	9665
595	1307	9663
596	1309	9660
597	1311	9657
598	1313	9653
599	1316	9651
600	1318	9647
601	1320	9644
602	1322	9642
603	1324	9639
604	1326	9637
605	1328	9635
606	1330	9632
607	1333	9630
608	1335	9628
609	1337	9626
610	1339	9623
611	1341	9620
612	1343	9616
613	1345	9613
614	1347	9610
615	1349	9607
616	1351	9604
617	1354	9601
618	1356	9597
619	1358	9594
620	1360	9592
621	1362	9589
622	1364	9586
623	1366	9583
624	1368	9580
625	1370	9578
626	1372	9575
627	1375	9573
628	1377	9571
629	1379	9570
630	1382	9570
631	1384	9566
632	1386	9564
633	1388	9561
634	1390	9558
635	1392	9554
636	1394	9551
637	1396	9548
638	1398	9545
639	1400	9542
640	1402	9539
641	1404	9536
642	1406	9533
643	1409	9530
644	1411	9528
645	1413	9524
646	1415	9521
647	1417	9518
648	1419	9515
649	1421	9512
650	1423	9509
651	1425	9506
652	1427	9503
653	1429	9500
654	1431	9497
655	1433	9494
656	1435	9491
657	1437	9488
658	1440	9486
659	1442	9483
660	1444	9480
661	1446	9477
662	1448	9473
663	1450	9471
664	1452	9468
665	1454	9465
666	1456	9462
667	1458	9459
668	1460	9456
669	1462	9453
670	1464	9450
671	1466	9447
672	1469	9445
673	1471	9441
674	1473	9439
675	1475	9436
676	1477	9433
677	1479	9430
678	1481	9428
679	1483	9425
680	1485	9423
681	1487	9420
682	1489	9417
683	1492	9414
684	1494	9411
685	1496	9408
686	1498	9405
687	1500	9402
688	1502	9400
689	1504	9397
690	1506	9394
691	1508	9391
692	1510	9388
693	1513	9388
694	1515	9385
695	1517	9383
696	1519	9380
697	1521	9378
698	1523	9376
699	1526	9374
700	1528	9371
701	1530	9369
702	1532	9368
703	1534	9365
704	1536	9362
705	1538	9360
706	1541	9357
707	1542	9353
708	1545	9350
709	1547	9348
710	1549	9347
711	1551	9344
712	1553	9341
713	1555	9338
714	1557	9335
715	1559	9332
716	1561	9330
717	1563	9327
718	1566	9324
719	1568	9321
720	1570	9318
721	1572	9316
722	1574	9313
723	1576	9310
724	1578	9307
725	1580	9304
726	1582	9301
727	1584	9298
728	1586	9295
729	1588	9292
730	1590	9289
731	1592	9287
732	1594	9284
733	1597	9282
734	1599	9279
735	1601	9276
736	1603	9273
737	1605	9271
738	1607	9268
739	1609	9265
740	1611	9262
741	1613	9260
742	1615	9257
743	1617	9253
744	1619	9250
745	1621	9248
746	1623	9245
747	1626	9243
748	1628	9239
749	1630	9237
750	1632	9234
751	1634	9231
752	1636	9228
753	1638	9225
754	1640	9222
755	1642	9220
756	1644	9217
757	1646	9215
758	1648	9212
759	1650	9209
760	1652	9206
761	1654	9204
762	1656	9200
763	1658	9198
764	1661	9195
765	1663	9192
766	1665	9190
767	1667	9187
768	1669	9184
769	1671	9181
770	1673	9177
771	1675	9175
772	1677	9173
773	1679	9170
774	1681	9168
775	1683	9165
776	1685	9162
777	1687	9159
778	1689	9156
779	1691	9153
780	1693	9150
781	1696	9148
782	1698	9145
783	1700	9142
784	1702	9139
785	1704	9136
786	1706	9134
787	1708	9131
788	1710	9128
789	1712	9126
790	1714	9123
791	1716	9120
792	1719	9119
793	1720	9116
794	1723	9114
795	1725	9113
796	1727	9111
797	1730	9110
798	1732	9108
799	1734	9106
800	1736	9105
801	1739	9102
802	1741	9099
803	1743	9098
804	1745	9094
805	1747	9092
806	1749	9089
807	1751	9087
808	1753	9084
809	1755	9082
810	1757	9079
811	1759	9076
812	1761	9073
813	1763	9071
814	1766	9070
815	1768	9069
816	1770	9066
817	1772	9063
818	1774	9061
819	1776	9057
820	1778	9055
821	1780	9051
822	1783	9049
823	1784	9046
824	1787	9043
825	1789	9041
826	1791	9038
827	1793	9036
828	1795	9033
829	1797	9031
830	1799	9028
831	1801	9026
832	1803	9022
833	1805	9020
834	1807	9017
835	1809	9014
836	1811	9012
837	1814	9009
838	1816	9006
839	1818	9004
840	1820	9001
841	1822	8999
842	1824	8996
843	1826	8994
844	1828	8991
845	1830	8988
846	1832	8986
847	1834	8983
848	1836	8980
849	1839	8979
850	1841	8977
851	1844	8978
852	1846	8976
853	1848	8974
854	1850	8972
855	1852	8970
856	1855	8968
857	1857	8965
858	1859	8962
859	1861	8960
860	1863	8957
861	1865	8955
862	1867	8952
863	1869	8949
864	1871	8946
865	1873	8943
866	1875	8941
867	1877	8938
868	1879	8935
869	1881	8933
870	1883	8930
871	1885	8927
872	1887	8925
873	1889	8921
874	1891	8919
875	1894	8916
876	1896	8913
877	1898	8911
878	1900	8908
879	1902	8905
880	1904	8903
881	1906	8900
882	1908	8897
883	1910	8895
884	1912	8892
885	1914	8889
886	1916	8887
887	1918	8884
888	1920	8882
889	1922	8879
890	1924	8877
891	1927	8874
892	1929	8872
893	1931	8870
894	1933	8868
895	1935	8865
896	1937	8863
897	1939	8860
898	1941	8858
899	1944	8856
900	1946	8854
901	1948	8852
902	1951	8852
903	1953	8850
904	1955	8847
905	1957	8845
906	1959	8843
907	1961	8840
908	1963	8838
909	1966	8837
910	1968	8836
911	1971	8836
912	1973	8835
913	1976	8836
914	1978	8834
915	1980	8832
916	1983	8829
917	1985	8827
918	1987	8824
919	1989	8821
920	1991	8819
921	1993	8816
922	1995	8814
923	1997	8811
924	1999	8808
925	2001	8806
926	2003	8803
927	2005	8801
928	2007	8798
929	2009	8796
930	2012	8795
931	2014	8793
932	2016	8790
933	2018	8788
934	2020	8786
935	2022	8783
936	2024	8780
937	2027	8777
938	2029	8775
939	2031	8773
940	2033	8770
941	2035	8767
942	2037	8765
943	2039	8762
944	2041	8759
945	2043	8757
946	2045	8755
947	2047	8752
948	2049	8750
949	2051	8747
950	2053	8744
951	2055	8742
952	2057	8739
953	2060	8736
954	2062	8734
955	2064	8732
956	2066	8729
957	2068	8727
958	2070	8724
959	2072	8722
960	2074	8719
961	2076	8716
962	2078	8714
963	2080	8711
964	2082	8708
965	2084	8705
966	2086	8702
967	2088	8700
968	2090	8697
969	2092	8695
970	2094	8692
971	2096	8689
972	2099	8687
973	2101	8684
974	2103	8682
975	2105	8679
976	2107	8677
977	2109	8674
978	2111	8671
979	2113	8669
980	2115	8667
981	2117	8665
982	2119	8662
983	2121	8659
984	2123	8657
985	2125	8654
986	2127	8652
987	2130	8649
988	2132	8647
989	2134	8644
990	2136	8642
991	2138	8639
992	2140	8638
993	2142	8636
